mode,word_size,accuracy,train_time,write_time,total_time,efficiency,epoch_losses,epoch_accuracies,final_loss,convergence_rate
fast,16,62.22880000000001,700.4139375686646,1158.94066,874.2550365686645,0.24578236067933523,"[1.7835212454466562, 1.3318813189673606, 1.1768930689910488, 1.0539109924031644, 0.9791571159268277, 0.9160304840111061, 0.85303610485533, 0.8209695261076588]","[30.360099999999996, 46.8977, 52.8713, 57.51109999999999, 60.306, 62.6107, 65.0104, 65.9471]",0.8209695261076588,0.5
fast,32,63.9032,658.7448320388794,579.47033,745.6653815388794,0.2982877425059573,"[1.7682208909555468, 1.3570634560206967, 1.1975837724135658, 1.079340180609842, 0.9975228888909224, 0.9321104127122922, 0.8690240154104769, 0.8306133562341675]","[30.475999999999996, 45.8774, 52.1854, 56.50599999999999, 59.6999, 61.98939999999999, 64.3017, 65.8787]",0.8306133562341675,0.5
fast,64,64.17920000000001,715.1560668945312,289.735165,758.6163416445313,0.29484271066888773,"[1.7846908407900337, 1.3532315765957696, 1.1951777371146795, 1.070844470257954, 0.9929198756242348, 0.9287398807609173, 0.8636174474225935, 0.8220589017471693]","[30.1131, 46.105399999999996, 51.890899999999995, 56.9905, 59.9621, 62.236399999999996, 64.5468, 66.0687]",0.8220589017471693,0.5
slow,16,77.2191,685.5282030105591,45910.11466000001,7572.04540201056,0.04339212621756468,"[1.6142029347627058, 1.172863462852395, 0.9768409833121483, 0.8403367417669662, 0.7536745587181861, 0.6839650491832773, 0.6112525564813248, 0.560705223563687]","[39.1706, 55.79728, 63.52947999999999, 68.52355999999999, 71.37144, 73.98607999999999, 76.64384, 78.25496]",0.560705223563687,0.75
slow,32,77.32209999999999,730.5878942012787,22955.057330000003,4173.8464937012795,0.07885699882724159,"[1.6311983413159694, 1.2041702595360748, 0.9912538088557055, 0.8420873674407334, 0.7629777111040662, 0.6913864374008325, 0.6134821140628947, 0.5618947761351495]","[38.61396, 54.999559999999995, 62.95716, 68.42752, 71.36752, 73.76264, 76.45371999999999, 78.39608]",0.5618947761351495,0.75
slow,64,77.50750000000001,881.3752834796906,11477.528665000002,2603.004583229691,0.12683931825908037,"[1.606914492019302, 1.2017956139151094, 1.0063418022293569, 0.8631606308791948, 0.7707982952576464, 0.6966955971916008, 0.6182267978840776, 0.5695122454294462]","[39.21176, 54.87412, 62.084959999999995, 67.51808, 70.75796, 73.44904, 76.39296, 78.00211999999999]",0.5695122454294462,0.625
hybrid,16,77.9842,696.8088960647583,34722.32116000001,5905.157070064759,0.06060364558301446,"[1.7952782850283797, 1.3233274774402, 1.1292192524122764, 0.9894501965521547, 0.9037229647874223, 0.8437001543352977, 0.770377162922069, 0.7149675576240205]","[39.0138, 57.3405, 64.932, 70.1757, 72.88470000000001, 75.1842, 77.84490000000001, 79.95120000000001]",0.7149675576240205,0.625
hybrid,32,77.0726,661.5934603214264,17361.160580000003,3265.7675473214267,0.10792109413375665,"[1.7838185061731608, 1.3297516385155261, 1.1261488410670435, 0.9813415226957682, 0.8943302888699505, 0.8384940202964846, 0.7645740545504843, 0.7203889296983209]","[40.2612, 57.319500000000005, 65.05380000000001, 70.4991, 73.3908, 75.4257, 78.11370000000001, 79.60050000000001]",0.7203889296983209,0.625
hybrid,64,77.9948,732.1263864040375,8680.580290000002,2034.2134299040376,0.17595856926223652,"[1.8010144876854501, 1.3298645062595986, 1.1186559201277737, 0.9715095736105424, 0.8863904818168382, 0.8228963144066389, 0.7534310381659461, 0.7094299908031894]","[39.335100000000004, 57.2061, 65.23440000000001, 70.7343, 73.836, 76.0473, 78.6345, 79.8567]",0.7094299908031894,0.625
