Layer,Output Dim,16-bit Write Time (ms),32-bit Write Time (ms),64-bit Write Time (ms)
Input,224x224x3,4554.977,2277.489,1138.744
Conv1_1,224x224x64,97172.849,48586.424,24293.212
Conv1_2,224x224x64,97172.849,48586.424,24293.212
Pool1,112x112x64,24293.212,12146.606,6073.303
Conv2_1,112x112x128,48586.424,24293.212,12146.606
Conv2_2,112x112x128,48586.424,24293.212,12146.606
Pool2,56x56x128,12146.606,6073.303,3036.652
Conv3_1,56x56x256,24293.212,12146.606,6073.303
Conv3_2,56x56x256,24293.212,12146.606,6073.303
Conv3_3,56x56x256,24293.212,12146.606,6073.303
Pool3,28x28x256,6073.303,3036.652,1518.326
Conv4_1,28x28x512,12146.606,6073.303,3036.652
Conv4_2,28x28x512,12146.606,6073.303,3036.652
Conv4_3,28x28x512,12146.606,6073.303,3036.652
Pool4,14x14x512,3036.652,1518.326,759.163
Conv5_1,14x14x512,3036.652,1518.326,759.163
Conv5_2,14x14x512,3036.652,1518.326,759.163
Conv5_3,14x14x512,3036.652,1518.326,759.163
Pool5,7x7x512,759.163,379.581,189.791
Flatten,1x1x25088,759.163,379.581,189.791
FC1,1x1x4096,123.945,61.972,30.986
FC2,1x1x4096,123.945,61.972,30.986
FC3,1x1x1000,30.26,15.13,7.565
TOTAL,-,461849.182,230924.589,115462.297
