mode,word_size,accuracy,train_time,write_time,total_time,efficiency,epoch_losses,epoch_accuracies,model_params
fast,64,50.28,1489.7075681686401,2821.4254050000004,1495.3504189786402,2400.194993678605,"[1.7634233099115475, 1.4758733550605871, 1.3329958583387878, 1.2316387039621164, 1.1547763294271192, 1.0934232846855203, 1.0409738483941158, 1.00666679948797]","[33.916, 45.096, 51.038, 55.206, 58.336, 60.64, 62.62, 63.976]",11173962
fast,16,49.96000000000001,1490.643247127533,11285.701620000002,1513.214650367533,2353.786995682709,"[1.7838791285634346, 1.4861575233966797, 1.3658553553969048, 1.2636335844274067, 1.1850842057591509, 1.1217407427175576, 1.0665507831841783, 1.024890441266472]","[32.854, 44.814, 49.714, 53.53, 56.952, 59.44, 61.558, 62.834]",11173962
fast,32,49.456,1493.7819771766663,5642.850810000001,1505.0676787966663,2298.592082927492,"[1.7701224658800208, 1.486467266021787, 1.3540434099524223, 1.2512138481335262, 1.1818185210837733, 1.1231739674992574, 1.071419017851505, 1.0268090667627048]","[33.628, 44.696, 50.182, 54.26, 57.046, 59.416, 61.316, 62.926]",11173962
slow,16,85.596,1082.7460670471191,447070.21962000005,1939.1653807256953,12758.82932347897,"[1.4670459410113752, 1.039885522154591, 0.8394224573584164, 0.7037941304314167, 0.6293900019067633, 0.583862492343044, 0.518118571899736, 0.4881582378274035]","[46.2, 62.788, 70.27, 75.312, 78.15, 79.644, 82.046, 82.998]",11173962
slow,32,82.22550000000001,1087.5368807315826,223535.10981000002,1406.5137681292663,12706.75682547053,"[1.4518784947712402, 1.021175008295747, 0.8320611864709488, 0.6857128316331702, 0.6224407394371374, 0.5670804331064834, 0.511824069425578, 0.48282685578631623]","[46.326, 63.452, 70.512, 76.026, 78.218, 80.232, 82.026, 83.234]",11173962
slow,64,84.8925,1093.1918425559998,111767.55490500001,1142.7956058168,14646.853820307293,"[1.451652511001548, 1.013141664397686, 0.8266163120794174, 0.6959168664787126, 0.6284592707291283, 0.5782183141964475, 0.5233548402481372, 0.4937683378186677]","[46.272, 63.884, 70.776, 75.586, 78.13, 79.85, 81.72, 82.882]",11173962
hybrid,64,88.0,1243.967037677765,76115.63239875,1629.7685835310679,75087.17774640318,"[1.4490685020871175, 1.0277953705824245, 0.8726863237598058, 0.7501216989648921, 0.6821526925429664, 0.632267330461146, 0.5694648842982319, 0.5429804067477546]","[46.566, 63.146, 68.958, 73.582, 76.13, 77.992, 80.074, 81.098]",11173962
hybrid,16,88.0,1245.0310299396515,304462.529595,2042.0697891985817,70174.99486545312,"[1.4467003162559646, 1.024830669698203, 0.8504470730071787, 0.7222481709916878, 0.6625450261108711, 0.6199923224004028, 0.5728971230252015, 0.5375659193681634]","[46.594, 62.962, 69.682, 74.518, 76.512, 78.152, 80.03, 81.302]",11173962
hybrid,32,88.0,1245.8365416526794,152231.2647975,1769.0201266187153,73262.83688644182,"[1.4652362575616373, 1.0497047959081351, 0.8662058607391689, 0.736147203942394, 0.6675682380376264, 0.6160028544838166, 0.5638518350965837, 0.5342181780759026]","[45.99, 62.476, 69.304, 74.1, 76.522, 78.616, 80.288, 81.3]",11173962
